template_id,template_name,display_name,education_type,total_duration_years,semester_system,semesters_per_year,total_semesters,typical_categories,is_active
EDU_TPL_001,btech_engineering,B.Tech / B.E. Engineering,BTech,4,semester,2,8,"[""Semester Registration Fee"", ""Examination Fee"", ""Lab Fee"", ""Project Materials"", ""Textbooks & References"", ""Coding Certifications"", ""Industrial Visit"", ""Placement Preparation"", ""Software Licenses (MATLAB/CAD)"", ""Final Year Project (FYP)"", ""Stationery & Printing"", ""Hostel Academic Maintenance""]",True
EDU_TPL_002,mba_management,MBA — Master of Business Administration,MBA,2,trimester,3,6,"[""Semester Registration Fee"", ""Case Study Materials"", ""Networking Events"", ""Business Conferences"", ""Certification Courses (CFA/CMA)"", ""Business Attire"", ""Industry Visits"", ""LinkedIn Premium"", ""Placement Preparation"", ""Resume & Interview Coaching"", ""Stationery & Printing"", ""Examination Fee""]",True
EDU_TPL_003,bdes_design,B.Des — Bachelor of Design,Design,4,semester,2,8,"[""Art Supplies & Materials"", ""Adobe Creative Cloud"", ""Figma / UX Tools"", ""Portfolio Printing"", ""Exhibition & Showcase Fees"", ""Prototype & Model Costs"", ""Semester Registration Fee"", ""Examination Fee"", ""Field Visit / Research Trips"", ""Workshop & Masterclass Fees"", ""Stationery & Sketchbooks"", ""Software Plugins & Assets""]",True
EDU_TPL_004,mbbs_medical,MBBS — Bachelor of Medicine and Surgery,Medical,5,semester,2,9,"[""Semester Registration Fee"", ""University Examination Fee"", ""Clinical Instruments Kit"", ""Medical Reference Books"", ""Lab Coat & Practical Uniform"", ""Practical / OSPE Exam Fee"", ""Anatomy Models & Dissection Kit"", ""PG Entrance Preparation"", ""Hospital Practical Fees"", ""Medical Journal Subscriptions"", ""Stationery & Printing"", ""Lab & Consumables Fee""]",True
EDU_TPL_005,bba_commerce,BBA — Bachelor of Business Administration,BBA,3,semester,2,6,"[""Semester Registration Fee"", ""Examination Fee"", ""Textbooks & Case Materials"", ""Internship Preparation"", ""Digital Marketing Tools"", ""Aptitude Training"", ""Placement Preparation"", ""Stationery & Printing"", ""Networking Events"", ""Business Attire"", ""Online Courses (Coursera/Udemy)"", ""Hostel Academic Maintenance""]",True
EDU_TPL_006,llb_law_integrated,B.A./B.Com. LLB — Integrated Law,Law,5,semester,2,10,"[""Semester Registration Fee"", ""Examination Fee"", ""Legal Database Subscriptions (SCC/Manupatra)"", ""Law Textbooks & Bare Acts"", ""Moot Court Competition Fees"", ""Internship (Law Firm / Court)"", ""Stationery & Printing"", ""Mooting Travel Expenses"", ""Bar Council Enrollment Fee"", ""Legal Research Workshop"", ""Seminar & Conference Fees"", ""Library Fine & Replacement""]",True
EDU_TPL_007,barch_architecture,B.Arch — Bachelor of Architecture,Architecture,5,semester,2,10,"[""Semester Registration Fee"", ""Examination Fee"", ""Model Making Materials"", ""Drafting & Drawing Equipment"", ""AutoCAD / Revit License"", ""Large-Format Printing"", ""Site Visit & Documentation"", ""Thesis / Final Project Materials"", ""Architecture Books & Journals"", ""Studio Supplies"", ""Photography Equipment Rental"", ""Workshop & Fabrication Fees""]",True
EDU_TPL_008,msc_data_science,M.Sc. Data Science & AI,Data Science,2,semester,2,4,"[""Semester Registration Fee"", ""Examination Fee"", ""Cloud Credits (AWS/GCP/Azure)"", ""Kaggle / DataCamp Pro"", ""Deep Learning Certifications"", ""Research Paper Access (IEEE/Springer)"", ""GPU Compute Costs"", ""GitHub Copilot / AI Tools"", ""Data Visualization Software"", ""Thesis Research Materials"", ""Conference Submission Fee"", ""Stationery & Lab Printing""]",True
EDU_TPL_009,bvoc_animation,B.Voc / B.A. Animation & Multimedia,Animation,3,semester,2,6,"[""Semester Registration Fee"", ""Examination Fee"", ""Adobe Creative Cloud"", ""Maya / Blender Plugins"", ""Render Farm Credits"", ""Portfolio Reel Production"", ""Sound Design Software"", ""Storyboard Materials"", ""3D Printing (Models/Props)"", ""Online Masterclasses"", ""Hard Drive & Storage"", ""Festival / Screening Submission""]",True
EDU_TPL_010,bcom_commerce,B.Com — Bachelor of Commerce,Commerce,3,semester,2,6,"[""Semester Registration Fee"", ""Examination Fee"", ""Commerce Textbooks"", ""Tally / Accounting Software"", ""CA Foundation / Inter Prep"", ""Online Finance Courses"", ""Stationery & Printing"", ""Internship at CA Firm"", ""Seminar Fees"", ""Business Newspaper Subscription"", ""Aptitude Training"", ""Bank Exam Preparation""]",True
EDU_TPL_011,mca_computer_applications,MCA — Master of Computer Applications,MCA,2,semester,2,4,"[""Semester Registration Fee"", ""Examination Fee"", ""Cloud Certification (AWS/Azure)"", ""LeetCode / Codeforces Premium"", ""DevOps / Docker Tools"", ""Placement Preparation Program"", ""Mock Interview Platform"", ""GitHub Pro"", ""Textbooks & References"", ""Internship Preparation"", ""Final Year Project Materials"", ""Stationery & Printing""]",True
EDU_TPL_012,bpharm_pharmacy,B.Pharm — Bachelor of Pharmacy,Pharmacy,4,semester,2,8,"[""Semester Registration Fee"", ""Examination Fee"", ""Lab Practical Fee"", ""Pharmacopoeia & Reference Books"", ""Lab Coat & Safety Equipment"", ""Lab Reagents & Consumables"", ""GPAT / PG Entrance Prep"", ""Industrial Training Fee"", ""Drug Analysis Software"", ""Stationery & Lab Journal"", ""Project Research Materials"", ""Internship at Pharmacy/Hospital""]",True
